Community Lot ID,Type of Design,Open Date,Tickets Name,Created By: Full Name,Stamp Type,Created Date,Stamp Ticket Result,Structural Stamp Rejected Reason
a3TUS00000B1jwK,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B0uXl,Individual Permit Package,5/28/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/28/2026,Pass,-
a3TUS00000B1MME,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B1W4d,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B19YL,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B10qO,Individual Permit Package,5/26/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/26/2026,Pass,-
a3TUS00000B1gE8,Individual Permit Package,4/19/2024,STP-002,Rich VILLANUEVA,Structural Stamp,6/5/2026,Pass,-
a3TUS00000B1KND,Individual Permit Package,5/29/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/1/2026,Pass,-
a3TUS00000B0yA0,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B1VkP,Individual Permit Package,5/26/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/26/2026,Pass,-
a3TUS00000B1nOc,Individual Permit Package,5/26/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/26/2026,Pass,-
a3TUS00000B1ajd,Individual Permit Package,5/29/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/1/2026,Pass,-
a3TUS00000B16Co,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B1eyy,Individual Permit Package,5/28/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/28/2026,Pass,-
a3TUS00000B1Jm9,Individual Permit Package,5/28/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/28/2026,Pass,-
a3TUS00000B1JOn,Individual Permit Package,5/26/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/26/2026,Pass,-
a3TUS00000B0vGS,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B1ADY,Individual Permit Package,5/28/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/28/2026,Pass,-
a3TUS00000B0vfk,Individual Permit Package,5/26/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/26/2026,Pass,-
a3TUS00000B1DQc,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B0x4A,Individual Permit Package,5/26/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/26/2026,Pass,-
a3TUS00000B1hdw,Individual Permit Package,5/29/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/29/2026,Pass,-
a3TUS00000B1XVK,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B1iQk,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B1sUl,Individual Permit Package,3/11/2024,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B13Mu,Individual Permit Package,9/7/2023,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B1ZlS,Individual Permit Package,3/14/2024,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B1Xob,Individual Permit Package,6/3/2026,STP-002,Rich VILLANUEVA,Structural Stamp,6/3/2026,Pass,-
a3TUS00000B0wSN,Individual Permit Package,5/28/2026,STP-002,Rich VILLANUEVA,Structural Stamp,5/28/2026,Pass,-
